Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,0,0,0,0,0,0.00%,0,2,31.55%,0.77021545641809,0.049388962444468,-0.0066041668,0.059112298682231,0.084441145177117,4.5100038696911,27.14,24,2.42,6.6
2026-03-12,0,0,0,0,0,0.00%,0,2,30.71%,0.7880653043257,0.047676760255647,-0.0063308608,0.057343266796976,0.088061720061816,4.7000049642123,27.43,24,2.7,6.7
2026-03-11,0,0,0,0,0,0.00%,0,2,26.09%,0.83562836096644,0.047179734436592,-0.0052547574,0.049815107786427,0.096673710433226,4.765000895946,27.81,24,2.73,6.8
2026-03-10,0,0,0,0,0,0.00%,0,2,26.42%,0.83048354911223,0.047496653337584,-0.0053343196,0.050856391475759,0.096314053506585,4.7450018332506,27.76,24,2.74,6.75
2026-03-09,0,0,0,0,0,0.00%,0,2,27.53%,0.82174760532391,0.046944784284421,-0.0055588911,0.052625315728232,0.095199091199216,4.8000028682745,27.75,24,4.4,5.2
2026-03-06,0,0,0,0,0,0.00%,0,2,24.60%,0.85184065427663,0.046014184192553,-0.0048522645,0.047242230231282,0.10142349405156,4.8250020900572,27.95,24,4.3,5.35
2026-03-05,0,0,0,0,0,0.00%,0,2,23.13%,0.86573251847656,0.045455530949234,-0.0045290426,0.044497035843914,0.10487387170226,4.8100024286201,28,24,2.77,6.85
2026-03-04,0,0,0,0,0,0.00%,0,2,25.84%,0.84099706025043,0.045561364041689,-0.0050897128,0.049883744296306,0.10093296064655,4.9000002389465,27.95,24,2.85,6.95
2026-03-03,0,0,0,0,0,0.00%,0,2,26.52%,0.84655788155842,0.042863870046607,-0.0051309522,0.049287380208856,0.10208072676061,5.1500019706932,28.2,24,3.1,7.2
2026-03-02,0,0,0,0,0,0.00%,0,2,24.06%,0.87794910172094,0.039880349356305,-0.0045142033,0.042709474190624,0.10806517019546,5.3000032912039,28.5,24,3.25,7.35
2026-02-27,0,0,0,0,0,0.00%,0,2,25.69%,0.85047014050403,0.043217688236618,-0.0049657941,0.048760229260594,0.10436575530877,5.1000026425417,28.17,24,3,7.2
2026-02-26,0,0,0,0,0,0.00%,0,2,26.72%,0.86730182050061,0.037296874907773,-0.0049322476,0.04619938563942,0.10774897365149,5.7000030525953,28.8,24,5.25,6.15
2026-02-25,5.83,5.83,5.83,5.83,0,0.00%,1,2,27.54%,0.86468841097013,0.036454423515272,-0.0050590093,0.047100191917045,0.10760990463696,5.8299999999967,28.9,24,3.95,7.85
2026-02-24,5.83,5.83,5.83,5.83,0,0.00%,0,2,29.10%,0.86258415631344,0.034492516080966,-0.0052799092,0.048128735878914,0.10734358432503,6.1250030665645,29.15,24,5.7,6.55
2026-02-23,5.83,5.83,5.83,5.83,0,0.00%,0,2,29.93%,0.84872920738823,0.035972222530749,-0.0055284539,0.051066452202007,0.10531803903682,5.9750033185116,28.92,24,5.6,6.35
2026-02-20,5.9,5.9,5.9,5.9,0,0.00%,1,1,31.03%,0.83506523069047,0.036763795989848,-0.0057939885,0.053990417699604,0.10368960894152,5.9000047557041,28.75,24,4.8,7.6
2026-02-19,5.9,5.9,5.9,5.9,0,0.00%,0,1,30.05%,0.83201566651837,0.038525119953872,-0.0056606795,0.054473446893438,0.10441775189793,5.6750049894113,28.53,24,3.7,7.65
2026-02-18,5.9,5.9,5.9,5.9,0,0.00%,0,1,30.57%,0.83820061532896,0.03653802726256,-0.0056685096,0.053777579008563,0.10575107514379,5.9250040100202,28.79,24,5.4,6.45
2026-02-17,5.9,5.9,5.9,5.9,0,0.00%,0,1,27.76%,0.85465202871111,0.037449448400143,-0.0051180952,0.050139207902397,0.10983561537543,5.7500039963272,28.75,24,4.35,7.15
2026-02-13,5.9,5.9,5.9,5.9,0,0.00%,0,1,27.25%,0.82634484233386,0.043714458829491,-0.0052578187,0.055232908443398,0.10669730594701,5.1000034034722,27.99,24,4.7,5.5
2026-02-12,5.9,5.9,5.9,5.9,0,0.00%,0,1,27.53%,0.8290127032655,0.042473847060216,-0.0052620177,0.055178269316182,0.10797872365593,5.2250031827554,28.11,24,4.45,6
2026-02-11,5.9,5.9,5.9,5.9,0,0.00%,0,1,27.86%,0.82131869944298,0.0432389086376,-0.0053569409,0.056628548586251,0.10703512568471,5.1500040757788,27.99,24,4.75,5.55
2026-02-10,5.9,5.9,5.9,5.9,0,0.00%,0,1,0.00%,0,0,0,0,0,0,27.8,24,3,5.55
2026-02-09,5.9,5.9,5.9,5.9,0,0.00%,0,1,27.31%,0.78797868463196,0.050133640060433,-0.0054572483,0.061363240030189,0.10257733883989,4.500004862887,27.21,24,4.1,4.9
2026-02-06,5.9,5.9,5.9,5.9,0,0.00%,0,1,24.71%,0.81278583447901,0.050881788466008,-0.0049288369,0.057507012803935,0.10852730078614,4.4750044514293,27.36,24,3.95,5
2026-02-05,5.9,5.9,5.9,5.9,0,0.00%,0,1,27.31%,0.76385535596281,0.053707033668982,-0.005537506,0.064736841765632,0.10027263274077,4.1750042500288,26.76,24,3.85,4.5
2026-02-04,5.9,5.9,5.9,5.9,0,0.00%,0,1,28.27%,0.77224031565573,0.050226178312463,-0.0056417339,0.06422907273401,0.10169554367687,4.4500032434416,27.03,24,4.05,4.85
2026-02-03,5.9,5.9,5.9,5.9,0,0.00%,0,1,28.43%,0.77902757166657,0.048695573053204,-0.0056270832,0.063649703243275,0.10319083758752,4.5900040306995,27.19,24,2.73,6.45
2026-02-02,5.9,5.9,5.9,5.9,0,0.00%,0,1,14.03%,0.93235649336632,0.042858575206548,-0.0030021761,0.028445535629959,0.13435628794527,4.1500014956662,27.52,24,3.05,5.25
2026-01-30,5.9,5.9,5.9,5.9,0,0.00%,0,1,28.70%,0.79333078325294,0.045505595408953,-0.0055750638,0.062413357351152,0.10680115627988,4.9000042270599,27.54,24,4.5,5.3
2026-01-29,4.77,4.77,4.77,4.77,0,0.00%,1,N/A,25.58%,0.81596756398938,0.047264056889131,-0.0049885307,0.058544589906783,0.11283006527174,4.7700032492508,27.6,24,3.2,5.7
"Downloaded from Barchart.com as of 03-14-2026 09:00pm CDT"
