Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,10.55,10.55,10.55,10.55,0,0.00%,2,416,38.55%,0.97110334833491,0.008780689185089,-0.0029023328,0.012849442010299,0.081409173634661,10.549999999993,27.14,17,10.1,11.3
2026-03-12,10.55,10.55,10.55,10.55,0,0.00%,0,416,48.06%,0.94610542372177,0.011507931959577,-0.0042394218,0.021666969145262,0.077829757409908,11.000002016544,27.43,17,10.5,11.5
2026-03-11,10.55,10.55,10.55,10.55,0,0.00%,0,416,34.85%,0.98438794898702,0.0055872212106932,-0.0023440249,0.0078866493346694,0.084775313856333,11.174999999983,27.81,17,10.85,11.5
2026-03-10,11.45,11.45,11.45,11.45,0,0.00%,2,416,53.55%,0.93404110310329,0.01189424186288,-0.0050525388,0.02582230462155,0.076162664236357,11.450001523505,27.76,17,10.75,11.7
2026-03-09,11.45,11.45,11.45,11.45,0,0.00%,0,416,48.49%,0.94749512874076,0.010956804967961,-0.0042191916,0.021639340125704,0.079144886131743,11.325001977405,27.75,17,10.8,11.85
2026-03-06,11.45,11.45,11.45,11.45,0,0.00%,0,416,45.04%,0.95847466040484,0.0096507539236539,-0.0036092078,0.018149981618959,0.081948928765208,11.449999999996,27.95,17,10.9,12
2026-03-05,11.3,11.3,11.3,11.3,-0.15,-1.31%,1,416,31.72%,0.99037350360749,0.0039476367752931,-0.002042742,0.0053047502697829,0.088407658769718,11.350000411149,28,17,10.9,11.8
2026-03-04,11.45,11.45,11.45,11.45,0,0.00%,1,416,44.45%,0.9592511392649,0.0095575955385317,-0.0035368534,0.01801130715803,0.083327373064535,11.450001152976,27.95,17,11,11.95
2026-03-03,11.45,11.45,11.45,11.45,0,0.00%,0,416,41.75%,0.96853516726882,0.0081399468089098,-0.0030909926,0.014740795255265,0.085392486792557,11.650000230103,28.2,17,11.1,12.2
2026-03-02,11.45,11.45,11.45,11.45,0,0.00%,0,416,35.46%,0.98517558507289,0.0050085866578282,-0.0022993315,0.0079108664610432,0.088779021741914,11.875000312447,28.5,17,11.35,12.4
2026-02-27,11.45,11.45,11.45,11.45,0,0.00%,0,416,30.83%,0.99187653870673,0.0034356675948765,-0.0019790609,0.0046572504651631,0.090848992649839,11.525,28.17,17,10.9,12.15
2026-02-26,12.25,12.25,12.25,12.25,0,0.00%,2,414,41.88%,0.97159877245808,0.0072082146493106,-0.0029930049,0.014000960067204,0.08792551680159,12.250000757815,28.8,17,11.45,12.85
2026-02-25,12.25,12.25,12.25,12.25,0,0.00%,0,414,49.03%,0.9538322925347,0.0091107319882046,-0.0039987102,0.02095929421795,0.084755101132927,12.475000821369,28.9,17,11.95,13
2026-02-24,12.25,12.25,12.25,12.25,0,0.00%,0,414,45.41%,0.96492713628254,0.0077809924481956,-0.0033993823,0.016952964227667,0.087351757320597,12.650001414345,29.15,17,12.05,13.25
2026-02-23,12.23,12.23,12.23,12.23,0,0.00%,1,413,43.51%,0.96768075734586,0.0076335744993626,-0.003198223,0.015762977022535,0.088386536493346,12.400001043697,28.92,17,11.9,12.9
2026-02-20,12.23,12.23,12.23,12.23,0,0.00%,0,413,0.00%,0,0,0,0,0,0,28.75,17,11.6,12.55
2026-02-19,12.23,12.23,12.23,12.23,0,0.00%,0,413,48.06%,0.95119456144944,0.0097014055887085,-0.0039802872,0.02194696786468,0.086783855122263,12.12500217286,28.53,17,11.65,12.6
2026-02-18,12.23,12.23,12.23,12.23,0,0.00%,0,413,41.02%,0.97182610158281,0.0071737115089076,-0.0029180312,0.014172789539736,0.091355088912515,12.250000992113,28.79,17,11.65,12.85
2026-02-17,12.23,12.23,12.23,12.23,0,0.00%,0,413,43.32%,0.96536414467453,0.0080503038102532,-0.0032360463,0.016827953599426,0.090475162098791,12.250001281626,28.75,17,11.8,12.7
2026-02-13,12.23,12.23,12.23,12.23,0,0.00%,0,413,38.60%,0.97123917274713,0.0079022914473211,-0.002811811,0.014148958447155,0.093114949433115,11.449999999993,27.99,17,10.85,12.05
2026-02-12,12.23,12.23,12.23,12.23,0,0.00%,0,413,34.62%,0.98184478627025,0.0059260021184195,-0.002350462,0.0096896880297553,0.096005505764829,11.525000461301,28.11,17,11,12.05
2026-02-11,12.23,12.23,12.23,12.23,0,0.00%,0,413,39.69%,0.96752807693285,0.0084391772304967,-0.0029625051,0.015753184539428,0.093635038071227,11.475001419325,27.99,17,10.85,12.1
2026-02-10,12.23,12.23,12.23,12.23,0,0.00%,0,413,38.46%,0.96917818917795,0.0083793388930107,-0.002854046,0.015020490231827,0.094436517034424,11.274999999986,27.8,17,10.65,11.9
2026-02-09,12.23,12.23,12.23,12.23,0,0.00%,0,413,34.49%,0.97544120883098,0.0078803410430823,-0.0025146484,0.012193355138607,0.096219464281511,10.650000895159,27.21,17,10.1,11.2
2026-02-06,12.23,12.23,12.23,12.23,0,0.00%,0,413,43.22%,0.94973361454169,0.011202790933973,-0.0036214753,0.02215246846908,0.091854669298463,10.949999999999,27.36,17,10.45,11.45
2026-02-05,12.23,12.23,12.23,12.23,0,0.00%,0,413,43.52%,0.94105749681849,0.012844087297284,-0.0038495716,0.024684120678544,0.091125155728378,10.400001272951,26.76,17,9.9,10.9
2026-02-04,12.23,12.23,12.23,12.23,0,0.00%,0,413,38.37%,0.96086454081653,0.010369185693185,-0.0030541872,0.018008330958051,0.095489177910757,10.550000941509,27.03,17,10.1,11
2026-02-03,12.23,12.23,12.23,12.23,0,0.00%,0,413,41.83%,0.9511970123096,0.011274563418186,-0.0034913011,0.021693830032814,0.09383393271829,10.775001845251,27.19,17,10.25,11.3
2026-02-02,12.23,12.23,12.23,12.23,0,0.00%,0,413,36.59%,0.97049426296067,0.0084287019142042,-0.0027251658,0.014599412216293,0.098119399400431,11.000000076038,27.52,17,10.45,11.55
