Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-02-11,3.1,3.44,3.1,3.44,0,0.00%,2,2,20.84%,-0.7199217867,0.078992876782621,-0.0021559846,0.069001116504204,-0.0687521492,3.4400067234004,27.99,31,1.27,4.95
2026-02-10,3.44,3.44,3.44,3.44,0,0.00%,0,2,20.46%,-0.7386363032,0.078486455297104,-0.0019487516,0.066534526853377,-0.0701908109,3.555004894863,27.8,31,1.51,5.6
2026-02-09,3.44,3.44,3.44,3.44,0,0.00%,0,2,20.77%,-0.7909216329,0.069620531362183,-0.0016094796,0.056684455809461,-0.0648767852,4.025004238665,27.21,31,1.95,6.1
2026-02-06,3.44,3.44,3.44,3.44,0,0.00%,0,2,21.53%,-0.7572153058,0.072591444552262,-0.0019092275,0.063546382419635,-0.0721362573,3.9599999999967,27.36,31,1.92,6
2026-02-05,3.44,3.44,3.44,3.44,0,0.00%,0,2,0.00%,0,0,0,0,0,0,26.76,31,2.28,5.25
2026-02-04,4.03,4.03,4.03,4.03,0,0.00%,1,1,17.64%,-0.8787616666,0.62332103823204,-0.0007365142,0.036891840906847,-0.0440377708,4.0300030037895,27.03,31,2.06,5.25
2026-02-03,4.03,4.03,4.03,4.03,0,0.00%,0,1,18.74%,-0.8266507796,0.068560400303793,-0.0011252561,0.050109769533841,-0.0593146462,3.9400042210268,27.19,31,1.98,5.9
2026-02-02,4.03,4.03,4.03,4.03,0,0.00%,0,1,19.38%,-0.7817415544,0.074663558566955,-0.0014783803,0.059650701844388,-0.0667422769,3.7100050268528,27.52,31,1.72,5.7
2026-01-30,4.03,4.03,4.03,4.03,0,0.00%,0,1,19.27%,-0.784200365,0.074020252523682,-0.0014538265,0.059105999687411,-0.0649338626,3.6900031287028,27.54,31,1.63,5.75
2026-01-29,4.03,4.03,4.03,4.03,0,0.00%,0,1,19.33%,-0.7739541992,0.075355203418625,-0.0015064798,0.061473971761159,-0.0675732575,3.6500050921468,27.6,31,1.6,5.7
2026-01-28,4.03,4.03,4.03,4.03,0,0.00%,0,1,18.35%,-0.7425513692,0.084680126030283,-0.0015376841,0.068515774637237,-0.0748521379,3.3000027974344,27.98,31,1.2,5.4
2026-01-27,3.1,3.1,3.1,3.1,0,0.00%,1,N/A,16.24%,-0.7896635415,0.084641411828192,-0.0011040209,0.058773383950554,-0.0606476291,3.1000058092561,28.07,31,1.15,5.35
"Downloaded from Barchart.com as of 03-14-2026 09:02pm CDT"
