Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-02-27,0,0,0,0,0,0.00%,0,31,18.70%,-0.8347180318,0.068164397665044,-0.0012191462,0.047754465782892,-0.0554901751,3.9500032697753,28.17,32,1.7,6.2
2026-02-26,0,0,0,0,0,0.00%,0,31,0.00%,0,0,0,0,0,0,28.8,32,1.12,5.25
2026-02-25,0,0,0,0,0,0.00%,0,31,13.57%,-0.923587337,0.048400093600261,-0.0003685602,0.024241281994676,-0.0246322399,3.1200021162626,28.9,32,1.09,5.15
2026-02-24,0,0,0,0,0,0.00%,0,31,0.00%,0,0,0,0,0,0,29.15,32,1.03,3.4
2026-02-23,0,0,0,0,0,0.00%,0,31,0.00%,0,0,0,0,0,0,28.92,32,1.6,3.8
2026-02-20,0,0,0,0,0,0.00%,0,31,20.20%,-0.744700296,0.077939175976777,-0.0020147192,0.066299127234894,-0.0690846294,3.5900048290186,28.75,32,1.58,5.6
2026-02-19,0,0,0,0,0,0.00%,0,31,16.92%,-0.8449070501,0.068661289544403,-0.0009961339,0.045677972214384,-0.0489673574,3.5750019383017,28.53,32,1.65,5.5
2026-02-18,0,0,0,0,0,0.00%,0,31,19.28%,-0.751255456,0.080274449869616,-0.0018082952,0.06604375276317,-0.0705152858,3.5050050044031,28.79,32,1.51,5.5
2026-02-17,0,0,0,0,0,0.00%,0,31,22.39%,-0.7061804701,0.12990288497729,-0.0025301524,0.072988408731497,-0.0774971865,3.7500057282975,28.75,32,2.1,5.4
2026-02-13,0,0,0,0,0,0.00%,0,31,17.49%,-0.8790942834,0.056514966795553,-0.0007820892,0.037738675941686,-0.0448728519,4.0700025566431,27.99,32,2.04,6.1
2026-02-12,0,0,0,0,0,0.00%,0,31,20.98%,-0.7835943976,0.068708576065964,-0.001743058,0.059894313860436,-0.0691880254,4.1450030334062,28.11,32,2.14,6.15
2026-02-11,0,0,0,0,0,0.00%,0,31,25.40%,-0.7225913138,0.064401630775957,-0.0027363879,0.070328515686987,-0.0819121326,4.5250059511782,27.99,32,3,6.05
2026-02-10,0,0,0,0,0,0.00%,0,31,20.20%,-0.8270339084,0.062831016146276,-0.0013316475,0.0506645300053,-0.0609029135,4.3550023611922,27.8,32,2.31,6.4
2026-02-09,0,0,0,0,0,0.00%,0,31,0.00%,0,0,0,0,0,0,27.21,32,2.95,5.3
2026-02-06,0,0,0,0,0,0.00%,0,31,24.44%,-0.7808072766,0.06039211101384,-0.0020854693,0.060153665319362,-0.0754441341,4.9500038088662,27.36,32,3.05,6.85
2026-02-05,0,0,0,0,0,0.00%,0,31,25.23%,-0.8162593765,0.053400803706361,-0.0018243928,0.052211153374891,-0.0687234933,5.4750028037305,26.76,32,3.6,7.35
2026-02-04,0,0,0,0,0,0.00%,0,31,23.18%,-0.8294428621,0.13732642912167,-0.001520668,0.049963274058893,-0.0642178268,5.1499999999933,27.03,32,3.2,7.1
2026-02-03,0,0,0,0,0,0.00%,0,31,21.12%,-0.8627718888,0.051250746938078,-0.0011047177,0.041920673432013,-0.0531538811,4.9200029120523,27.19,32,2.89,6.95
2026-02-02,0,0,0,0,0,0.00%,0,31,19.90%,-0.8594235869,0.054604374024003,-0.0010420637,0.043095509951909,-0.0529506418,4.5850024564257,27.52,32,2.52,6.65
2026-01-30,0,0,0,0,0,0.00%,0,31,22.08%,-0.807887894,0.060341377676356,-0.0015919605,0.055380161305502,-0.0677266231,4.6800050186071,27.54,32,2.91,6.45
2026-01-29,0,0,0,0,0,0.00%,0,31,0.00%,0,0,0,0,0,0,27.6,32,2.4,6.1
2026-01-28,0,0,0,0,0,0.00%,0,31,0.00%,0,0,0,0,0,0,27.98,32,2,5.95
2026-01-27,0,0,0,0,0,0.00%,0,31,18.78%,-0.8214481551,0.066444582748662,-0.001170494,0.053523145926674,-0.0631577287,4.0749999999937,28.07,32,2.25,5.9
2026-01-26,0,0,0,0,0,0.00%,0,31,0.00%,0,0,0,0,0,0,28.24,32,1.71,5.8
2026-01-23,0,0,0,0,0,0.00%,0,31,18.43%,-0.7804095874,0.074367548816394,-0.0013996382,0.062791933720136,-0.0685844829,3.6500033080838,28.58,32,1.7,5.6
2026-01-22,4,4,3.82,3.82,0,0.00%,71,71,18.31%,-0.8030598303,0.07063456745942,-0.0012378419,0.058118760417678,-0.06565094,3.819999999997,28.36,32,1.65,5.9
2026-01-21,3.82,3.82,3.82,3.82,0,0.00%,0,71,0.00%,0,0,0,0,0,0,28.53,32,1.7,4.1
2026-01-20,3.82,3.82,3.82,3.82,0,0.00%,0,71,0.00%,0,0,0,0,0,0,28.24,32,1.82,4.7
2026-01-16,3.82,3.82,3.82,3.82,0,0.00%,0,71,0.00%,0,0,0,0,0,0,28.58,32,1.55,4.7
2026-01-15,3.82,3.82,3.82,3.82,0,0.00%,0,71,0.00%,0,0,0,0,0,0,28.49,32,1.61,4.2
2026-01-14,3.82,3.82,3.82,3.82,0,0.00%,0,71,0.00%,0,0,0,0,0,0,28.63,32,1.45,4.7
2026-01-13,3.82,3.82,3.82,3.82,0,0.00%,0,71,0.00%,0,0,0,0,0,0,28.86,32,1.38,4.7
2026-01-12,3.82,3.82,3.82,3.82,0,0.00%,0,71,19.07%,-0.7781150697,0.070887650705425,-0.0014274221,0.064384221126962,-0.0723943637,3.8500052826069,28.4,32,1.95,5.75
2026-01-09,3.82,3.82,3.82,3.82,0,0.00%,0,71,19.20%,-0.7212224881,0.078133189920494,-0.0017469065,0.076183109702998,-0.0818304483,3.5000074665325,28.885,32,2.3,4.7
2026-01-08,3.82,3.82,3.82,3.82,0,0.00%,0,71,20.65%,-0.7443831169,0.070808521028209,-0.0017478367,0.071960723605174,-0.0840247244,4.0250061469894,28.32,32,2.2,5.85
