Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,"Last Trade"
18.00,+33.68%,7.85,9.77,11.70,9.53,unch,unch,0,42,unch,44.98%,0.9321,Call,02/09/26
19.00,+29.99%,6.75,8.85,10.95,0.00,unch,unch,0,0,unch,42.39%,0.9172,Call,N/A
20.00,+26.31%,5.85,7.70,9.55,8.10,unch,unch,0,"7,986",unch,31.91%,0.9370,Call,03/12/26
21.00,+22.62%,4.95,7.05,9.15,7.92,unch,unch,0,100,unch,37.83%,0.8749,Call,03/04/26
22.00,+18.94%,4.10,6.20,8.30,6.95,unch,unch,0,261,unch,36.16%,0.8441,Call,03/02/26
23.00,+15.25%,3.25,5.35,7.45,0.00,unch,unch,0,0,unch,33.99%,0.8100,Call,N/A
24.00,+11.57%,2.42,4.51,6.60,5.83,unch,unch,0,2,unch,31.55%,0.7702,Call,02/25/26
25.00,+7.89%,3.25,3.68,4.10,3.65,-0.15,-3.95%,2,"14,267",+12,28.37%,0.7250,Call,03/13/26
26.00,+4.20%,1.68,2.44,3.20,3.01,unch,unch,0,38,unch,19.77%,0.6937,Call,03/12/26
27.00,+0.52%,0.21,1.36,2.50,2.02,+2.02,unch,20,295,unch,21.88%,0.5915,Call,03/13/26
28.00,-3.17%,0.00,0.75,1.50,1.18,-0.20,-14.49%,57,"1,787",+10,17.17%,0.4846,Call,03/13/26
29.00,-6.85%,0.34,0.80,1.25,0.81,+0.81,unch,32,474,unch,17.22%,0.3737,Call,03/13/26
30.00,-10.54%,0.00,0.30,0.60,0.46,+0.06,+15.00%,"2,030","10,638",+7,16.05%,0.2583,Call,03/13/26
31.00,-14.22%,0.03,0.05,0.07,0.05,+0.01,+25.00%,17,"18,654",unch,10.04%,0.0608,Call,03/13/26
32.00,-17.91%,0.01,0.03,0.05,0.01,-0.02,-66.67%,10,"1,412",+11,9.31%,0.0158,Call,03/13/26
33.00,-21.59%,0.00,1.07,2.13,0.00,unch,unch,0,0,unch,50.24%,0.3784,Call,N/A
34.00,-25.28%,0.00,1.07,2.13,0.00,unch,unch,0,0,unch,53.46%,0.3645,Call,N/A
35.00,-28.96%,0.00,0.05,0.10,0.02,unch,unch,0,766,unch,20.33%,0.0616,Call,03/11/26
36.00,-32.65%,0.00,1.07,2.13,0.00,unch,unch,0,0,unch,59.35%,0.3423,Call,N/A
37.00,-36.33%,0.00,0.20,0.40,0.01,unch,unch,0,147,unch,33.21%,0.1352,Call,01/26/26
18.00,-33.68%,0.03,0.16,0.28,0.00,unch,unch,0,0,unch,38.37%,-0.0454,Put,N/A
19.00,-29.99%,0.00,0.16,0.32,0.00,unch,unch,0,0,unch,41.05%,-0.0785,Put,N/A
20.00,-26.31%,0.05,0.22,0.39,0.23,-0.11,-32.35%,7,"15,042",+5,33.50%,-0.0720,Put,03/13/26
21.00,-22.62%,0.00,0.25,0.49,0.29,unch,unch,0,"6,298",unch,36.97%,-0.1226,Put,03/03/26
22.00,-18.94%,0.00,0.30,0.60,0.51,+0.51,unch,5,292,unch,32.89%,-0.1408,Put,03/13/26
23.00,-15.25%,0.00,1.34,2.68,0.42,unch,unch,0,75,unch,65.18%,-0.2678,Put,02/18/26
24.00,-11.57%,0.00,0.70,1.39,0.00,unch,unch,0,0,unch,38.88%,-0.2630,Put,N/A
25.00,-7.89%,0.70,1.05,1.39,0.92,+0.23,+33.33%,56,"22,251","+3,827",26.15%,-0.2706,Put,03/13/26
26.00,-4.20%,0.00,0.58,1.16,1.10,+1.10,unch,1,6,unch,23.48%,-0.3367,Put,03/13/26
27.00,-0.52%,1.10,1.49,1.87,1.40,+0.35,+33.33%,4,344,+2,21.64%,-0.4249,Put,03/13/26
28.00,+3.17%,0.00,1.00,2.00,1.20,unch,unch,0,"3,204",+1,22.57%,-0.5209,Put,03/12/26
29.00,+6.85%,1.24,2.72,4.20,1.91,unch,unch,35,268,unch,11.35%,-0.8403,Put,03/13/26
30.00,+10.54%,0.80,2.88,4.95,1.67,unch,unch,0,18,unch,13.56%,-0.9278,Put,03/03/26
31.00,+14.22%,1.75,3.83,5.90,3.44,unch,unch,0,0,unch,0.00%,0.0000,Put,02/11/26
32.00,+17.91%,2.85,4.93,7.00,3.82,unch,unch,0,0,unch,21.24%,-0.8956,Put,01/22/26
33.00,+21.59%,3.85,5.93,8.00,0.00,unch,unch,0,0,unch,23.95%,-0.9044,Put,N/A
34.00,+25.28%,4.85,6.93,9.00,0.00,unch,unch,0,0,unch,26.51%,-0.9108,Put,N/A
35.00,+28.96%,5.85,7.93,10.00,0.00,unch,unch,0,0,unch,28.94%,-0.9163,Put,N/A
36.00,+32.65%,6.85,8.93,11.00,0.00,unch,unch,0,0,unch,31.25%,-0.9206,Put,N/A
37.00,+36.33%,7.85,9.93,12.00,8.95,unch,unch,0,0,unch,33.47%,-0.9238,Put,12/18/25
"Downloaded from Barchart.com as of 03-14-2026 09:14pm CDT"
