Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2026-03-13,16.38%,+2.68%,6.49%,4%,2.9577939139158,165697,1.4094980300861,2270776,27.14,41866,123831,942427,1328349
2026-03-12,13.70%,+0.74%,3.83%,4%,3.5190269094863,33251,1.4111114305152,2264634,27.43,7358,25893,939249,1325385
2026-03-11,12.96%,-1.23%,3.09%,3%,0.31721908953376,38310,1.4159748975107,2248270,27.81,29084,9226,930585,1317685
2026-03-10,14.20%,+1.98%,4.32%,3%,12.236983040762,88979,1.4269884411088,2249379,27.76,6722,82257,926819,1322560
2026-03-09,12.21%,+0.66%,2.35%,3%,1.0646621403168,31930,1.4458168949787,2244827,27.75,15465,16465,917823,1327004
2026-03-06,11.55%,+0.64%,1.69%,2%,3.4269038802125,54991,1.4146558312094,2262349,27.95,12422,42569,936924,1325425
2026-03-05,10.92%,-0.14%,1.06%,1%,2.2815091411668,135336,1.4385927305072,2206963,28,41242,94094,905015,1301948
2026-03-04,11.06%,+0.67%,1.20%,1%,25.393065762201,280136,1.4565536000604,2210827,27.95,10614,269522,899971,1310856
2026-03-03,10.39%,+0.53%,0.53%,1%,4.1505460728533,78757,1.4247754963785,2169032,28.2,15291,63466,894529,1274503
2026-03-02,9.85%,-1.28%,0.00%,0%,5.3849944865765,283730,1.3546837882248,2057777,28.5,44437,239293,873908,1183869
2026-02-27,11.13%,-10.06%,0.00%,0%,6.3266432624583,663662,1.253574109271,2053628,28.17,90582,573080,911276,1142352
2026-02-26,21.19%,+0.06%,0.07%,1%,0.75177580185257,103826,1.2653600309007,1999921,28.8,59269,44557,882827,1117094
2026-02-25,21.13%,-8.82%,0.00%,0%,0.43115102778142,196477,1.3358110738092,1920317,28.9,137286,59191,822120,1098197
2026-02-24,29.94%,-6.08%,4.14%,4%,1.7450603439069,102808,1.2929430661178,1861535,29.15,37452,65356,811854,1049681
2026-02-23,36.03%,-1.10%,11.39%,11%,0.83383681412845,126267,1.3082141616171,1786934,28.92,68854,57413,774163,1012771
2026-02-20,37.13%,+1.27%,12.70%,14%,0.83036166315344,198845,1.230786099939,2034468,28.75,108637,90208,911996,1122472
2026-02-19,35.86%,+1.89%,11.19%,11%,0.40351501351928,98625,1.2377628559248,1999873,28.53,70270,28355,893693,1106180
2026-02-18,33.96%,-2.89%,8.93%,7%,1.2444606680051,122974,1.1697283414284,1861922,28.79,54790,68184,858136,1003786
2026-02-17,36.85%,+0.54%,12.37%,12%,1.1763166722576,97314,1.1525694173601,1815815,28.75,44715,52599,843557,972258
2026-02-13,36.31%,+0.99%,11.73%,10%,0.95913000602641,71520,1.1705334719591,1828796,27.99,36506,35014,842556,986240
2026-02-12,35.32%,-0.19%,10.54%,9%,2.0164442445144,60350,1.160166759903,1783991,28.11,20007,40343,825858,958133
2026-02-11,35.50%,-2.55%,10.77%,10%,0.97578873642991,124123,1.1342449772688,1723358,27.99,62822,61301,807479,915879
2026-02-10,38.05%,-0.23%,13.81%,12%,4.1835858657646,182343,1.0891869355646,1656134,27.8,35177,147166,792717,863417
2026-02-09,38.29%,+0.21%,14.08%,13%,0.86341478755857,59251,1.0985057714545,1626023,27.21,31797,27454,774848,851175
2026-02-06,38.08%,+1.18%,13.83%,12%,0.66354745655386,118220,1.1255458459265,1656914,27.36,71065,47155,779524,877390
2026-02-05,36.89%,+2.66%,12.42%,11%,1.8107845256105,78033,1.102998947304,1616161,26.76,27762,50271,768503,847658
2026-02-04,34.23%,+0.64%,9.25%,8%,1.827876298432,71599,1.0792139763318,1577404,27.03,25319,46280,758654,818750
2026-02-03,33.59%,+0.59%,8.49%,6%,0.97974613939422,43204,1.0869853436499,1555234,27.19,21823,21381,745206,810028
2026-02-02,33.00%,+3.10%,7.79%,6%,1.0324679528681,62787,1.0911833407542,1526407,27.52,30892,31895,729925,796482
2026-01-30,29.90%,-4.09%,4.09%,4%,4.2191110507,191985,0.97945848981443,1580174,27.54,36785,155200,798286,781888
2026-01-29,33.99%,-25.61%,8.97%,6%,0.57113880034773,43376,0.99471647672218,1546007,27.6,27608,15768,775051,770956
2026-01-28,59.60%,+23.24%,39.47%,76%,1.2776706121377,199549,0.91657894736842,1420185,27.98,87611,111938,741000,679185
2026-01-27,36.36%,-17.80%,11.79%,8%,0.78668405564473,53429,0.91914331173934,1382286,28.07,29904,23525,720262,662024
2026-01-26,54.16%,+15.89%,32.99%,67%,0.65265008791761,32896,0.92101072151698,1369064,28.24,19905,12991,712679,656385
2026-01-23,38.27%,+8.31%,14.06%,9%,1.2083716514877,148884,0.8919063848872,1358315,28.58,67418,81466,717961,640354
2026-01-22,29.96%,+2.66%,4.16%,4%,0.49543877045117,90489,0.88705483468019,1332423,28.36,60510,29979,706086,626337
2026-01-21,27.30%,-1.59%,0.99%,1%,1.1744104139078,77172,0.87365944101971,1306647,28.53,35491,41681,697377,609270
2026-01-20,28.89%,-10.67%,2.89%,1%,1.1975268643015,81392,0.85350750985939,1263790,28.24,37038,44354,681837,581953
2026-01-16,39.56%,+10.34%,15.60%,10%,1.1375912134206,113660,0.78380197295919,2332462,28.58,53172,60488,1307579,1024883
2026-01-15,29.22%,-53.51%,3.29%,2%,1.2844885117742,119810,0.762132307888,2271963,28.49,52445,67365,1289326,982637
2026-01-14,82.73%,+45.85%,67.02%,98%,0.98989288515694,154748,0.73453777847942,2219407,28.63,77767,76981,1279538,939869
2026-01-13,36.88%,-6.43%,12.41%,7%,0.34689384933738,61184,0.73341566580285,2226094,28.86,45426,15758,1284224,941870
2026-01-12,43.31%,-11.02%,20.06%,28%,0.66363703905495,67176,0.72338952935021,2203662,28.4,40379,26797,1278679,924983
2026-01-09,54.32%,-8.52%,33.18%,67%,0.20164506034868,67202,0.72823069311164,2263443,28.885,55925,11277,1309688,953755
2026-01-08,62.84%,-15.88%,43.32%,80%,0.14631306597671,106332,0.73332965416033,2229965,28.32,92760,13572,1286521,943444
2026-01-07,78.72%,+12.78%,62.24%,97%,1.1808055231711,239435,0.72802121673605,2163861,28.59,109792,129643,1252219,911642
2026-01-06,65.94%,+27.64%,47.02%,86%,0.55183842444692,129698,0.71754255763254,2147653,28.47,83577,46121,1250422,897231
2026-01-05,38.29%,-20.05%,14.09%,8%,0.94949744197141,118508,0.70152158156668,2108141,28.53,60789,57719,1238974,869167
2026-01-02,58.34%,+17.14%,37.97%,76%,0.35657315508195,83512,0.71002899105782,2178895,28.51,61561,21951,1274186,904709
2025-12-31,41.20%,+10.46%,17.56%,19%,0.13217443165871,64543,0.7254367480555,2142040,28.82,57008,7535,1241448,900592
2025-12-30,30.74%,-4.68%,5.09%,3%,0.63024426005532,48922,0.71676939690108,2128758,28.94,30009,18913,1239979,888779
2025-12-29,35.42%,-5.66%,10.67%,5%,0.51784014537483,52622,0.71940691781826,2099879,28.79,34669,17953,1221281,878598
2025-12-26,41.08%,+13.50%,17.41%,18%,1.5539994360372,81516,0.69433244520508,2178022,28.8,31917,49599,1285475,892547
2025-12-24,27.58%,-23.90%,1.33%,1%,1.0242883663366,26170,0.68884136722174,2167839,29.23,12928,13242,1283625,884214
2025-12-23,51.48%,+22.14%,29.80%,61%,0.41085410854109,94056,0.68879587975881,2135300,29.15,66666,27390,1264392,870908
2025-12-22,29.34%,-20.54%,3.43%,1%,0.36327298050139,97883,0.68888715581652,2100599,28.75,71800,26083,1243777,856822
2025-12-19,49.88%,+13.22%,27.90%,55%,0.31019648131501,102025,0.7501285889913,2834335,27.77,77870,24155,1619501,1214834
2025-12-18,36.67%,+7.07%,12.16%,6%,1.0036413262616,322997,0.73603308858057,2717331,27.61,161205,161792,1565253,1152078
2025-12-17,29.60%,-3.28%,3.73%,2%,0.88100934723237,244503,0.69598012365592,2642393,28.21,129985,114518,1558033,1084360
2025-12-16,32.88%,-1.25%,7.64%,2%,0.325411433521,146898,0.68838366283281,2608416,28.9,110832,36066,1544919,1063497
2025-12-15,34.13%,+4.69%,9.13%,2%,0.40513171322515,125297,0.68292053629695,2563401,29.71,89171,36126,1523186,1040215
2025-12-12,29.45%,+0.40%,3.55%,1%,0.37195635002404,319589,0.69085691734503,2527848,29.98,232944,86645,1495010,1032838
2025-12-11,29.05%,-1.33%,3.08%,1%,1.1836239795179,226016,0.63005565284336,2405271,29.49,103505,122511,1475576,929695
2025-12-10,30.38%,-20.49%,4.66%,1%,0.30703719123684,496018,0.62414542962577,2284687,29.53,379498,116520,1406701,877986
2025-12-09,50.87%,+24.40%,29.07%,58%,0.24482189853211,375086,0.63289014976678,2175671,28.26,301317,73769,1332405,843266
2025-12-08,26.46%,-15.42%,0.00%,0%,0.39855819729965,438055,0.61969795153387,1994590,27.23,313219,124836,1231458,763132
2025-12-05,41.89%,+7.05%,9.80%,20%,0.4264177942277,564211,0.57574244342557,2051062,26.08,395544,168667,1301648,749414
2025-12-04,34.84%,-5.40%,0.52%,1%,0.18111560540984,254919,0.62129720024304,1899862,24.54,215829,39090,1171816,728046
2025-12-03,40.24%,-4.94%,7.63%,10%,0.81453559877921,79669,0.61674156864278,1861686,24.57,43906,35763,1151505,710181
2025-12-02,45.18%,+45.18%,14.14%,35%,0.33864947078523,139502,0.6282113291703,1807720,24.53,104211,35291,1110249,697471
2025-12-01,0.00%,-47.29%,0.00%,0%,0,0,0.63479748938832,1779737,0,0,0,1088659,691078
2025-11-28,47.29%,-14.43%,16.91%,46%,0.89252252252252,84028,0.61690893827597,1829775,24,44400,39628,1131650,698125
2025-11-26,61.71%,+9.72%,35.90%,79%,0.75877548016778,119500,0.61396204134798,1790473,23.88,67945,51555,1109365,681108
2025-11-25,52.00%,-1.95%,23.10%,62%,0.42959257945914,76599,0.61021079532848,1763556,22.96,53581,23018,1095233,668323
2025-11-24,53.94%,-3.21%,25.67%,68%,0.30611292021837,109097,0.60654973290758,1722684,22.86,83528,25569,1072288,650396
2025-11-21,57.15%,+3.74%,29.89%,74%,0.34035335240918,169103,0.62571804139195,2202687,23.17,126163,42940,1354901,847786
2025-11-20,53.41%,-3.10%,24.97%,67%,0.31974073062309,159426,0.62484754129485,2139518,22.88,120801,38625,1316750,822768
2025-11-19,56.51%,+1.74%,29.05%,73%,0.25737537555056,215533,0.64023537860049,2055707,23.09,171415,44118,1253300,802407
2025-11-18,54.77%,+0.88%,26.76%,70%,0.39418668213612,249947,0.65395115311197,1965974,23.69,179278,70669,1188653,777321
2025-11-17,53.89%,+0.97%,25.60%,69%,0.42828158832455,83773,0.65225113709812,1927460,22.74,58653,25120,1166566,760894
2025-11-14,52.92%,+3.83%,24.32%,67%,0.33513040193671,155524,0.6690139253097,1919593,23.03,116486,39038,1150136,769457
2025-11-13,49.10%,-61.32%,19.29%,56%,1.0100682379537,96029,0.6526693808202,1883149,22.14,47774,48255,1139459,743690
2025-11-12,110.42%,+52.53%,100.00%,100%,1.1524398501332,95366,0.63744179433406,1842646,22.19,44306,51060,1125320,717326
2025-11-11,57.89%,+16.91%,47.91%,76%,0.92777361171409,48844,0.62601321804766,1816434,23.05,25337,23507,1117109,699325
2025-11-10,40.98%,-6.28%,13.36%,15%,0.46255526687634,32087,0.62640313643586,1806633,22.98,21939,10148,1110815,695818
2025-11-07,47.26%,+3.42%,26.19%,50%,0.93599390975903,66120,0.62945520008016,1886316,22.67,34153,31967,1157636,728680
2025-11-06,43.84%,-1.89%,19.21%,35%,0.58227756461305,87424,0.63058280408171,1858566,22.42,55252,32172,1139817,718749
2025-11-05,45.74%,-3.77%,23.08%,42%,0.69452013774517,113177,0.60816723211135,1813572,22.76,66790,46387,1127726,685846
2025-11-04,49.50%,-12.98%,30.77%,58%,0.6275379377023,77435,0.60063744236716,1758726,22.6,47578,29857,1098766,659960
2025-11-03,62.48%,+12.30%,57.30%,80%,0.60756152252278,56636,0.60172222247832,1737300,22.29,35231,21405,1084645,652655
2025-10-31,50.18%,-2.99%,32.17%,60%,0.39168933212451,184204,0.6006590304259,1770116,22.45,132360,51844,1105867,664249
2025-10-30,53.17%,-3.79%,38.27%,67%,0.25198389656641,64685,0.59661380282249,1769658,21.62,51666,13019,1108382,661276
2025-10-29,56.96%,+17.84%,46.01%,72%,0.2666084022189,104347,0.60872713393243,1719636,21.34,82383,21964,1068942,650694
2025-10-28,39.12%,-4.08%,9.57%,5%,0.23250854958761,30634,0.6150171185185,1704783,20.99,24855,5779,1055582,649201
2025-10-27,43.20%,+3.11%,17.90%,30%,0.42150860575257,61530,0.61246469316548,1678945,21.04,43285,18245,1041229,637716
2025-10-24,40.09%,-3.71%,11.53%,8%,0.36674130846299,118409,0.5935186482346,1763077,21.15,86636,31773,1106405,656672
2025-10-23,43.80%,+0.11%,19.12%,33%,0.54918507910529,181738,0.57564600574227,1679292,21.25,117312,64426,1065780,613512
2025-10-22,43.69%,-2.70%,18.91%,32%,0.58683794152283,219639,0.54779455786756,1564082,20.53,138413,81226,1010523,553559
2025-10-21,46.40%,-17.20%,24.43%,42%,0.48715081238399,324474,0.55630791702425,1436273,20.33,218185,106289,922872,513401
2025-10-20,63.60%,-9.53%,59.57%,82%,0.7651699791452,70252,0.54593055228657,1385885,18.32,39799,30453,896473,489412
2025-10-17,73.12%,-9.78%,79.03%,94%,0.40102260224225,194822,0.50539835849802,1741913,18.19,139057,55765,1157111,584802
2025-10-16,82.90%,+5.68%,99.02%,99%,0.39844521823629,86347,0.51749114035524,1709387,18.29,61745,24602,1126456,582931
2025-10-15,77.23%,-0.09%,87.41%,96%,0.17687637538433,75406,0.52290147284312,1679506,18.45,64073,11333,1102833,576673
